batch,batch_code,year,season,season_order,total_companies,wave,count,pct
Summer 2005,S05,2005,Summer,2,9,Web / Social / UGC,4,0.4444444444444444
Summer 2005,S05,2005,Summer,2,9,Mobile-Enabled Commerce / Marketplaces,0,0.0
Summer 2005,S05,2005,Summer,2,9,Fintech,1,0.1111111111111111
Summer 2005,S05,2005,Summer,2,9,Crypto / Web3,0,0.0
Summer 2005,S05,2005,Summer,2,9,Generative AI / Agents,0,0.0
Summer 2005,S05,2005,Summer,2,9,Other,4,0.4444444444444444
Winter 2006,W06,2006,Winter,0,7,Web / Social / UGC,3,0.42857142857142855
Winter 2006,W06,2006,Winter,0,7,Mobile-Enabled Commerce / Marketplaces,1,0.14285714285714285
Winter 2006,W06,2006,Winter,0,7,Fintech,1,0.14285714285714285
Winter 2006,W06,2006,Winter,0,7,Crypto / Web3,0,0.0
Winter 2006,W06,2006,Winter,0,7,Generative AI / Agents,0,0.0
Winter 2006,W06,2006,Winter,0,7,Other,2,0.2857142857142857
Summer 2006,S06,2006,Summer,2,11,Web / Social / UGC,8,0.7272727272727273
Summer 2006,S06,2006,Summer,2,11,Mobile-Enabled Commerce / Marketplaces,1,0.09090909090909091
Summer 2006,S06,2006,Summer,2,11,Fintech,0,0.0
Summer 2006,S06,2006,Summer,2,11,Crypto / Web3,0,0.0
Summer 2006,S06,2006,Summer,2,11,Generative AI / Agents,0,0.0
Summer 2006,S06,2006,Summer,2,11,Other,2,0.18181818181818182
Winter 2007,W07,2007,Winter,0,13,Web / Social / UGC,7,0.5384615384615384
Winter 2007,W07,2007,Winter,0,13,Mobile-Enabled Commerce / Marketplaces,2,0.15384615384615385
Winter 2007,W07,2007,Winter,0,13,Fintech,1,0.07692307692307693
Winter 2007,W07,2007,Winter,0,13,Crypto / Web3,0,0.0
Winter 2007,W07,2007,Winter,0,13,Generative AI / Agents,0,0.0
Winter 2007,W07,2007,Winter,0,13,Other,3,0.23076923076923078
Summer 2007,S07,2007,Summer,2,19,Web / Social / UGC,10,0.5263157894736842
Summer 2007,S07,2007,Summer,2,19,Mobile-Enabled Commerce / Marketplaces,1,0.05263157894736842
Summer 2007,S07,2007,Summer,2,19,Fintech,1,0.05263157894736842
Summer 2007,S07,2007,Summer,2,19,Crypto / Web3,0,0.0
Summer 2007,S07,2007,Summer,2,19,Generative AI / Agents,0,0.0
Summer 2007,S07,2007,Summer,2,19,Other,7,0.3684210526315789
Winter 2008,W08,2008,Winter,0,21,Web / Social / UGC,9,0.42857142857142855
Winter 2008,W08,2008,Winter,0,21,Mobile-Enabled Commerce / Marketplaces,2,0.09523809523809523
Winter 2008,W08,2008,Winter,0,21,Fintech,2,0.09523809523809523
Winter 2008,W08,2008,Winter,0,21,Crypto / Web3,0,0.0
Winter 2008,W08,2008,Winter,0,21,Generative AI / Agents,0,0.0
Winter 2008,W08,2008,Winter,0,21,Other,8,0.38095238095238093
Summer 2008,S08,2008,Summer,2,22,Web / Social / UGC,10,0.45454545454545453
Summer 2008,S08,2008,Summer,2,22,Mobile-Enabled Commerce / Marketplaces,4,0.18181818181818182
Summer 2008,S08,2008,Summer,2,22,Fintech,0,0.0
Summer 2008,S08,2008,Summer,2,22,Crypto / Web3,0,0.0
Summer 2008,S08,2008,Summer,2,22,Generative AI / Agents,0,0.0
Summer 2008,S08,2008,Summer,2,22,Other,8,0.36363636363636365
Winter 2009,W09,2009,Winter,0,16,Web / Social / UGC,7,0.4375
Winter 2009,W09,2009,Winter,0,16,Mobile-Enabled Commerce / Marketplaces,5,0.3125
Winter 2009,W09,2009,Winter,0,16,Fintech,0,0.0
Winter 2009,W09,2009,Winter,0,16,Crypto / Web3,0,0.0
Winter 2009,W09,2009,Winter,0,16,Generative AI / Agents,0,0.0
Winter 2009,W09,2009,Winter,0,16,Other,4,0.25
Summer 2009,S09,2009,Summer,2,26,Web / Social / UGC,6,0.23076923076923078
Summer 2009,S09,2009,Summer,2,26,Mobile-Enabled Commerce / Marketplaces,6,0.23076923076923078
Summer 2009,S09,2009,Summer,2,26,Fintech,3,0.11538461538461539
Summer 2009,S09,2009,Summer,2,26,Crypto / Web3,1,0.038461538461538464
Summer 2009,S09,2009,Summer,2,26,Generative AI / Agents,0,0.0
Summer 2009,S09,2009,Summer,2,26,Other,10,0.38461538461538464
Winter 2010,W10,2010,Winter,0,27,Web / Social / UGC,13,0.48148148148148145
Winter 2010,W10,2010,Winter,0,27,Mobile-Enabled Commerce / Marketplaces,9,0.3333333333333333
Winter 2010,W10,2010,Winter,0,27,Fintech,0,0.0
Winter 2010,W10,2010,Winter,0,27,Crypto / Web3,0,0.0
Winter 2010,W10,2010,Winter,0,27,Generative AI / Agents,0,0.0
Winter 2010,W10,2010,Winter,0,27,Other,5,0.18518518518518517
Summer 2010,S10,2010,Summer,2,36,Web / Social / UGC,13,0.3611111111111111
Summer 2010,S10,2010,Summer,2,36,Mobile-Enabled Commerce / Marketplaces,7,0.19444444444444445
Summer 2010,S10,2010,Summer,2,36,Fintech,3,0.08333333333333333
Summer 2010,S10,2010,Summer,2,36,Crypto / Web3,0,0.0
Summer 2010,S10,2010,Summer,2,36,Generative AI / Agents,1,0.027777777777777776
Summer 2010,S10,2010,Summer,2,36,Other,12,0.3333333333333333
Winter 2011,W11,2011,Winter,0,45,Web / Social / UGC,11,0.24444444444444444
Winter 2011,W11,2011,Winter,0,45,Mobile-Enabled Commerce / Marketplaces,18,0.4
Winter 2011,W11,2011,Winter,0,45,Fintech,5,0.1111111111111111
Winter 2011,W11,2011,Winter,0,45,Crypto / Web3,0,0.0
Winter 2011,W11,2011,Winter,0,45,Generative AI / Agents,0,0.0
Winter 2011,W11,2011,Winter,0,45,Other,11,0.24444444444444444
Summer 2011,S11,2011,Summer,2,60,Web / Social / UGC,18,0.3
Summer 2011,S11,2011,Summer,2,60,Mobile-Enabled Commerce / Marketplaces,14,0.23333333333333334
Summer 2011,S11,2011,Summer,2,60,Fintech,7,0.11666666666666667
Summer 2011,S11,2011,Summer,2,60,Crypto / Web3,0,0.0
Summer 2011,S11,2011,Summer,2,60,Generative AI / Agents,0,0.0
Summer 2011,S11,2011,Summer,2,60,Other,21,0.35
Winter 2012,W12,2012,Winter,0,66,Web / Social / UGC,16,0.24242424242424243
Winter 2012,W12,2012,Winter,0,66,Mobile-Enabled Commerce / Marketplaces,17,0.25757575757575757
Winter 2012,W12,2012,Winter,0,66,Fintech,7,0.10606060606060606
Winter 2012,W12,2012,Winter,0,66,Crypto / Web3,0,0.0
Winter 2012,W12,2012,Winter,0,66,Generative AI / Agents,0,0.0
Winter 2012,W12,2012,Winter,0,66,Other,26,0.3939393939393939
Summer 2012,S12,2012,Summer,2,83,Web / Social / UGC,26,0.3132530120481928
Summer 2012,S12,2012,Summer,2,83,Mobile-Enabled Commerce / Marketplaces,17,0.20481927710843373
Summer 2012,S12,2012,Summer,2,83,Fintech,6,0.07228915662650602
Summer 2012,S12,2012,Summer,2,83,Crypto / Web3,1,0.012048192771084338
Summer 2012,S12,2012,Summer,2,83,Generative AI / Agents,1,0.012048192771084338
Summer 2012,S12,2012,Summer,2,83,Other,32,0.3855421686746988
Winter 2013,W13,2013,Winter,0,46,Web / Social / UGC,2,0.043478260869565216
Winter 2013,W13,2013,Winter,0,46,Mobile-Enabled Commerce / Marketplaces,16,0.34782608695652173
Winter 2013,W13,2013,Winter,0,46,Fintech,8,0.17391304347826086
Winter 2013,W13,2013,Winter,0,46,Crypto / Web3,0,0.0
Winter 2013,W13,2013,Winter,0,46,Generative AI / Agents,0,0.0
Winter 2013,W13,2013,Winter,0,46,Other,20,0.43478260869565216
Summer 2013,S13,2013,Summer,2,52,Web / Social / UGC,10,0.19230769230769232
Summer 2013,S13,2013,Summer,2,52,Mobile-Enabled Commerce / Marketplaces,16,0.3076923076923077
Summer 2013,S13,2013,Summer,2,52,Fintech,3,0.057692307692307696
Summer 2013,S13,2013,Summer,2,52,Crypto / Web3,3,0.057692307692307696
Summer 2013,S13,2013,Summer,2,52,Generative AI / Agents,0,0.0
Summer 2013,S13,2013,Summer,2,52,Other,20,0.38461538461538464
Winter 2014,W14,2014,Winter,0,74,Web / Social / UGC,15,0.20270270270270271
Winter 2014,W14,2014,Winter,0,74,Mobile-Enabled Commerce / Marketplaces,21,0.28378378378378377
Winter 2014,W14,2014,Winter,0,74,Fintech,12,0.16216216216216217
Winter 2014,W14,2014,Winter,0,74,Crypto / Web3,1,0.013513513513513514
Winter 2014,W14,2014,Winter,0,74,Generative AI / Agents,2,0.02702702702702703
Winter 2014,W14,2014,Winter,0,74,Other,23,0.3108108108108108
Summer 2014,S14,2014,Summer,2,78,Web / Social / UGC,9,0.11538461538461539
Summer 2014,S14,2014,Summer,2,78,Mobile-Enabled Commerce / Marketplaces,17,0.21794871794871795
Summer 2014,S14,2014,Summer,2,78,Fintech,13,0.16666666666666666
Summer 2014,S14,2014,Summer,2,78,Crypto / Web3,5,0.0641025641025641
Summer 2014,S14,2014,Summer,2,78,Generative AI / Agents,2,0.02564102564102564
Summer 2014,S14,2014,Summer,2,78,Other,32,0.41025641025641024
Winter 2015,W15,2015,Winter,0,111,Web / Social / UGC,18,0.16216216216216217
Winter 2015,W15,2015,Winter,0,111,Mobile-Enabled Commerce / Marketplaces,37,0.3333333333333333
Winter 2015,W15,2015,Winter,0,111,Fintech,18,0.16216216216216217
Winter 2015,W15,2015,Winter,0,111,Crypto / Web3,4,0.036036036036036036
Winter 2015,W15,2015,Winter,0,111,Generative AI / Agents,3,0.02702702702702703
Winter 2015,W15,2015,Winter,0,111,Other,31,0.27927927927927926
Summer 2015,S15,2015,Summer,2,104,Web / Social / UGC,13,0.125
Summer 2015,S15,2015,Summer,2,104,Mobile-Enabled Commerce / Marketplaces,28,0.2692307692307692
Summer 2015,S15,2015,Summer,2,104,Fintech,16,0.15384615384615385
Summer 2015,S15,2015,Summer,2,104,Crypto / Web3,1,0.009615384615384616
Summer 2015,S15,2015,Summer,2,104,Generative AI / Agents,0,0.0
Summer 2015,S15,2015,Summer,2,104,Other,46,0.4423076923076923
Winter 2016,W16,2016,Winter,0,122,Web / Social / UGC,20,0.16393442622950818
Winter 2016,W16,2016,Winter,0,122,Mobile-Enabled Commerce / Marketplaces,27,0.22131147540983606
Winter 2016,W16,2016,Winter,0,122,Fintech,19,0.1557377049180328
Winter 2016,W16,2016,Winter,0,122,Crypto / Web3,1,0.00819672131147541
Winter 2016,W16,2016,Winter,0,122,Generative AI / Agents,5,0.040983606557377046
Winter 2016,W16,2016,Winter,0,122,Other,50,0.4098360655737705
Summer 2016,S16,2016,Summer,2,102,Web / Social / UGC,20,0.19607843137254902
Summer 2016,S16,2016,Summer,2,102,Mobile-Enabled Commerce / Marketplaces,29,0.28431372549019607
Summer 2016,S16,2016,Summer,2,102,Fintech,13,0.12745098039215685
Summer 2016,S16,2016,Summer,2,102,Crypto / Web3,2,0.0196078431372549
Summer 2016,S16,2016,Summer,2,102,Generative AI / Agents,4,0.0392156862745098
Summer 2016,S16,2016,Summer,2,102,Other,34,0.3333333333333333
Winter 2017,W17,2017,Winter,0,116,Web / Social / UGC,10,0.08620689655172414
Winter 2017,W17,2017,Winter,0,116,Mobile-Enabled Commerce / Marketplaces,34,0.29310344827586204
Winter 2017,W17,2017,Winter,0,116,Fintech,22,0.1896551724137931
Winter 2017,W17,2017,Winter,0,116,Crypto / Web3,4,0.034482758620689655
Winter 2017,W17,2017,Winter,0,116,Generative AI / Agents,3,0.02586206896551724
Winter 2017,W17,2017,Winter,0,116,Other,43,0.3706896551724138
Summer 2017,S17,2017,Summer,2,125,Web / Social / UGC,19,0.152
Summer 2017,S17,2017,Summer,2,125,Mobile-Enabled Commerce / Marketplaces,31,0.248
Summer 2017,S17,2017,Summer,2,125,Fintech,20,0.16
Summer 2017,S17,2017,Summer,2,125,Crypto / Web3,3,0.024
